Forma organização,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024
030106 Consulta/Atendimento as urgencias (em geral),41,42,39,22,9,5,10,2,-,-,-,14,-,-,-,-
030301 Tratamento de doencas infecciosas e parasitarias,150,227,164,54,10,2,10,3,1,-,-,17,28,-,-,-
"030302 Tratamento de doencas do sangue, orgaos hematopoeticos e alguns transtornos imunitarios",6,9,7,7,2,-,1,-,-,-,-,1,1,-,-,-
"030303 Tratamento de doencas endocrinas, metabolicas e nutricionais",80,97,104,47,20,3,11,10,-,-,-,1,3,-,-,-
030304 Tratamento de doencas do sistema nervoso central e periferico,17,19,20,4,3,-,-,-,-,-,-,-,-,-,-,-
030306 Tratamento de doencas cardiovasculares,61,115,104,33,9,4,7,4,1,-,-,4,7,-,-,-
030307 Tratamento de doencas do aparelho digestivo,43,65,56,16,9,1,1,1,-,-,-,-,-,-,-,-
030308 Tratamento de doencas da pele e do tecido  subcutaneo,88,51,45,44,6,-,2,3,-,-,-,7,12,-,-,-
030309 Tratamento de doencas do sistema osteomuscular e do tecido conjuntivo,7,10,2,2,-,-,-,1,-,-,-,-,-,-,-,-
"030310 Tratamento durante a gestacao, parto e puerperio",3,2,3,1,-,1,-,1,-,-,-,-,-,-,-,-
030314 Tratamento de doencas do ouvido/apofise mastoide e vias aereas,255,270,160,97,19,8,26,7,3,-,-,12,10,2,-,-
030315 Tratamento das doencas do aparelho geniturinario,44,114,107,42,17,8,7,2,2,-,-,5,4,-,-,-
030316 Tratamento de algumas afeccoess originadas no periodo neonatal,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030317 Tratamento dos transtornos mentais e comportamentais,3,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-
030410 Gerais em oncologia,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
030502 Tratamento em nefrologia em geral,36,18,1,2,-,-,1,-,1,-,-,1,1,-,-,-
030801 Traumatismos,1,30,48,41,4,4,4,-,-,-,-,1,2,1,-,-
030802 Intoxicacoes e envenenamentos,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030803 Outras consequencias de causas externas,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030804 Complicacoes consequentes a procedimentos em saude,3,3,-,-,1,-,2,-,-,-,-,-,2,-,-,-
031001 Parto e nascimento,271,222,157,120,94,9,43,64,31,56,62,43,44,44,23,20
"040102 Cirurgias de pele, tecido subcutaneo e mucosa",9,25,35,29,19,-,1,-,1,-,-,-,-,-,-,-
040401 Cirurgia das vias aereas superiores e do pescoco,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
040402 Cirurgia da face e do sistema estomatognatico,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
040602 Cirurgia vascular,14,173,99,113,41,-,-,-,-,-,-,-,-,-,-,-
"040702 Intestinos , reto e anus",20,27,25,20,9,-,4,4,-,-,-,-,-,-,-,-
"040703 Pancreas, baco, figado e vias biliares",74,76,70,70,53,-,-,-,-,-,-,-,-,-,-,-
040704 Parede e cavidade abdominal,282,171,232,255,274,-,120,125,133,-,-,-,-,-,-,-
040805 Membros inferiores,-,1,5,3,-,-,-,-,-,-,-,-,-,-,-,-
"040901 Rim, ureter e bexiga",-,19,13,-,1,-,-,1,1,-,-,-,-,-,-,-
040902 Uretra,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"040904 Bolsa escrotal, testiculos e cordao espermatico",19,19,13,20,14,-,9,4,-,-,-,-,-,-,-,-
040905 Penis,27,16,19,27,44,-,9,3,2,-,-,-,-,-,-,-
040906 Utero e anexos,100,114,118,122,94,-,19,6,4,-,-,-,-,-,-,-
"040907 Vagina, vulva e perineo",102,48,58,79,45,-,31,31,23,-,-,-,-,-,-,-
041001 Mama,9,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
041101 Parto,11,75,118,155,66,-,131,179,461,-,-,-,-,-,-,-
041102 Outras cirurgias relacionadas com o estado gestacional,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-
041301 Tratamento de queimados,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041504 Procedimentos cirurgicos gerais,1,14,19,28,10,-,-,-,-,-,-,-,-,-,-,-
