Procedimento,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA,-,8,8,7,3,-,1,1,-,-,-,-,-,-,-,-
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA,41,34,31,15,6,5,9,1,-,-,-,14,-,-,-,-
0303010010 TRATAMENTO DE DENGUE CLASSICA,9,-,29,3,1,-,-,-,-,-,-,-,-,-,-,-
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS,6,47,5,1,1,-,8,2,1,-,-,3,-,-,-,-
0303010045 TRATAMENTO DE DOENCAS BACTERIANAS ZOONOTICAS,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS,117,163,123,47,7,1,1,-,-,-,-,3,2,-,-,-
0303010100 TRATAMENTO DE HELMINTIASES (B65 a B83),7,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-
0303010118 TRATAMENTO DE HEPATITES VIRAIS,4,8,2,3,-,-,-,-,-,-,-,-,-,-,-,-
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09),1,2,2,-,-,1,1,-,-,-,-,-,1,-,-,-
0303010142 TRATAMENTO DE INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303010193 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34),-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0303010215 TRATAMENTO DE TUBERCULOSE (A15 A A19),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19,-,-,-,-,-,-,-,-,-,-,-,11,25,-,-,-
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS,6,9,7,6,2,-,1,-,-,-,-,1,1,-,-,-
0303020067 TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
0303030020 TRATAMENTO DE DESNUTRICAO,12,32,18,7,1,-,2,-,-,-,-,-,-,-,-,-
0303030038 TRATAMENTO DE DIABETES MELLITUS,40,50,82,36,14,3,6,10,-,-,-,1,2,-,-,-
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS,28,15,4,4,5,-,3,-,-,-,-,-,1,-,-,-
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO),14,17,17,4,2,-,-,-,-,-,-,-,-,-,-,-
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS,3,2,3,-,1,-,-,-,-,-,-,-,-,-,-,-
0303060026 TRATAMENTO DE ARRITMIAS,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA,17,46,50,9,4,-,3,3,-,-,-,-,1,-,-,-
0303060123 TRATAMENTO DE DOENCA REUMATICA S/ CARDITE,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-
0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA,32,54,28,14,2,-,1,1,-,-,-,-,-,-,-,-
0303060220 TRATAMENTO DE LINFADENITES INESPECIFICAS,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO,5,5,10,8,3,-,3,-,-,-,-,4,4,-,-,-
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA,-,5,12,1,-,1,-,-,-,-,-,-,-,-,-,-
0303060301 TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA,7,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO,5,11,11,4,3,-,-,1,-,-,-,-,-,-,-,-
0303070072 TRATAMENTO DE DOENCAS DO FIGADO,16,23,15,4,2,-,1,-,-,-,-,-,-,-,-,-
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,5,7,13,1,2,1,-,-,-,-,-,-,-,-,-,-
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,3,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS,14,18,16,6,2,-,-,-,-,-,-,-,-,-,-,-
0303080043 TRATAMENTO DE AFECCOES BOLHOSAS,-,3,-,-,-,-,-,-,-,-,-,-,4,-,-,-
0303080051 TRATAMENTO DE DERMATITES E ECZEMAS,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS,46,24,16,10,1,-,1,-,-,-,-,2,-,-,-,-
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS,40,24,29,34,5,-,1,3,-,-,-,5,4,-,-,-
0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
0303090294 TRATAMENTO CONSERVADOR DE LUMBAGO OU DORSALGIA REFRATARIOS,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS,5,10,2,2,-,-,-,1,-,-,-,-,-,-,-,-
0303090324 TRATAMENTO DE ARTRITE REUMATOIDE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO,2,2,-,1,-,1,-,1,-,-,-,-,-,-,-,-
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,50,73,55,16,6,3,6,5,1,-,-,2,4,2,-,-
0303140070 TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-
0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303140119 TRATAMENTO DE OUTRAS DOENCAS DA PLEURA,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
